name,location,website,url
The NOW Massage South Loop,"1109 S Wabash Ave, Chicago, IL 60605",https://thenowmassage.com/south-loop/,https://www.google.com/maps/place/The+NOW+Massage+South+Loop/data=!4m7!3m6!1s0x880e2db91c8e3563:0x721ba2c0a6337183!8m2!3d41.8689395!4d-87.6256618!16s%2Fg%2F11n08jc_dj!19sChIJYzWOHLktDogRg3EzpsCiG3I?authuser=0&hl=en&rclk=1
South Loop Massage PLLC,,http://southloopmassage.com/,https://www.google.com/maps/place/South+Loop+Massage+PLLC/data=!4m7!3m6!1s0x880e2d2447b0fdd7:0x9b2797c5b3e8ecdd!8m2!3d41.8652159!4d-87.6256756!16s%2Fg%2F11srmprc9j!19sChIJ1_2wRyQtDogR3ezos8WXJ5s?authuser=0&hl=en&rclk=1
Thai Lotus Bodywork South Loop,"1325 S Wabash Ave Ste 204, Chicago, IL 60605",https://thailotusbodywork.com/,https://www.google.com/maps/place/Thai+Lotus+Bodywork+South+Loop/data=!4m7!3m6!1s0x880e2d86e2deb19f:0x713b1d4e489ea0a0!8m2!3d41.8651618!4d-87.6255645!16s%2Fg%2F11h75rxn23!19sChIJn7He4oYtDogRoKCeSE4dO3E?authuser=0&hl=en&rclk=1
DQ Luxury Reflexology Massage & Relaxation Retreat,"910 S Michigan Ave, Chicago, IL 60605",http://michiganavespa.com/,https://www.google.com/maps/place/DQ+Luxury+Reflexology+Massage+%26+Relaxation+Retreat/data=!4m7!3m6!1s0x880e2c9be061d687:0x1abf574defbfbf32!8m2!3d41.8703299!4d-87.6242846!16s%2Fg%2F1ptwcyptt!19sChIJh9Zh4JssDogRMr-_701Xvxo?authuser=0&hl=en&rclk=1
Elements Massage,"1160 S Michigan Ave, Chicago, IL 60605",https://elementsmassage.com/south-loop?utm_source=Google&utm_medium=SoCi,https://www.google.com/maps/place/Elements+Massage/data=!4m7!3m6!1s0x880e2c9b745bbf43:0x2628087f9498181!8m2!3d41.8678704!4d-87.6245721!16s%2Fg%2F11byk__w9t!19sChIJQ79bdJssDogRgYFJ-YeAYgI?authuser=0&hl=en&rclk=1
Paradise Unisex Spa,,https://paradisespawabash.com/,https://www.google.com/maps/place/Paradise+Unisex+Spa/data=!4m7!3m6!1s0x880e2c997798fb41:0xef782e496412c47c!8m2!3d41.8711862!4d-87.6261595!16s%2Fg%2F1vfp46l0!19sChIJQfuYd5ksDogRfMQSZEkueO8?authuser=0&hl=en&rclk=1
Spa Pro massage,"531 S Dearborn St, Chicago, IL 60605",,https://www.google.com/maps/place/Spa+Pro+massage/data=!4m7!3m6!1s0x880e2c97fba209a3:0xda0c332ad414c0eb!8m2!3d41.875017!4d-87.62895!16s%2Fg%2F11fz95r47w!19sChIJowmi-5csDogR68AU1CozDNo?authuser=0&hl=en&rclk=1
Versailles Massage and Bar,"1329 S Michigan Ave, Chicago, IL 60605",http://versaillesmassagebar.com/,https://www.google.com/maps/place/Versailles+Massage+and+Bar/data=!4m7!3m6!1s0x880e2c84a9ce908b:0xa21e4326b34b3180!8m2!3d41.8649442!4d-87.6238075!16s%2Fg%2F11cm_q10kr!19sChIJi5DOqYQsDogRgDFLsyZDHqI?authuser=0&hl=en&rclk=1
Hand & Stone Massage and Facial Spa,,https://handandstone.com/locations/chicago-south-loop/?utm_source=yext&utm_medium=organic&utm_campaign=businesslisting,https://www.google.com/maps/place/Hand+%26+Stone+Massage+and+Facial+Spa/data=!4m7!3m6!1s0x880e2c9b908eec1f:0x1f4edd74f0cd80f0!8m2!3d41.8687096!4d-87.6245698!16s%2Fg%2F11b6_dcqdz!19sChIJH-yOkJssDogR8IDN8HTdTh8?authuser=0&hl=en&rclk=1
Chicago Manual Lymphatic Drainage Massage,"1325 S Wabash Ave, Chicago, IL 60605",https://chicagomanuallymphaticdrainage.godaddysites.com/,https://www.google.com/maps/place/Chicago+Manual+Lymphatic+Drainage+Massage/data=!4m7!3m6!1s0x880e2be66ad6c957:0x67bdbd302675afa6!8m2!3d41.8651669!4d-87.6251941!16s%2Fg%2F11d_dcmkpj!19sChIJV8nWauYrDogRpq91JjC9vWc?authuser=0&hl=en&rclk=1
ASAP Wellness - Injury & Lymph Specialists,"730 S Dearborn St, Chicago, IL 60605",http://saptherapy.abmp.com/,https://www.google.com/maps/place/ASAP+Wellness+-+Injury+%26+Lymph+Specialists/data=!4m7!3m6!1s0x880e2d134ed22c3b:0x67dca7df4812d832!8m2!3d41.872817!4d-87.6293965!16s%2Fg%2F11h0yjjxfk!19sChIJOyzSThMtDogRMtgSSN-n3Gc?authuser=0&hl=en&rclk=1
"European Relax Massage (Best ever, honest!)","1250/1234 S Michigan Ave # A, Chicago, IL 60605",http://www.ninela.com/,"https://www.google.com/maps/place/European+Relax+Massage+%28Best+ever,+honest!%29/data=!4m7!3m6!1s0x880e2d6a3a18646d:0x89d203193e00cea3!8m2!3d41.8636283!4d-87.6242675!16s%2Fg%2F11f7kgwwtw!19sChIJbWQYOmotDogRo84APhkD0ok?authuser=0&hl=en&rclk=1"
L+A Healing Studio,,http://www.lahealingstudio.com/,https://www.google.com/maps/place/L%2BA+Healing+Studio/data=!4m7!3m6!1s0x880e2c86b8c715a3:0x33ec4a3c7effe9d1!8m2!3d41.8547974!4d-87.6242967!16s%2Fg%2F11bw22jglp!19sChIJoxXHuIYsDogR0en_fjxK7DM?authuser=0&hl=en&rclk=1
Massage Envy,"1136 S Delano Ct Suite E201, Chicago, IL 60605",https://locations.massageenvy.com/illinois/chicago/1136-s--delano-ct-west.html?utm_source=GMB&utm_medium=useractions&utm_campaign=website,https://www.google.com/maps/place/Massage+Envy/data=!4m7!3m6!1s0x880e2c9178c4c817:0x97c063d4f6899ca7!8m2!3d41.867972!4d-87.6329587!16s%2Fg%2F11bv3v14wj!19sChIJF8jEeJEsDogRp5yJ9tRjwJc?authuser=0&hl=en&rclk=1
IMPACT Physical Therapy & Sports Recovery - South Loop,,https://www.impactphysicaltherapy.com/location/south-loop/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,https://www.google.com/maps/place/IMPACT+Physical+Therapy+%26+Sports+Recovery+-+South+Loop/data=!4m7!3m6!1s0x880e2c9a43ed90e5:0x9d9c1212f0328497!8m2!3d41.8687945!4d-87.6270731!16s%2Fg%2F11c56c8635!19sChIJ5ZDtQ5osDogRl4Qy8BISnJ0?authuser=0&hl=en&rclk=1
